Word,Length,Freq_HAL,Log_Freq_HAL
file,4,311710,12.65
must,4,306094,12.63
through,7,305803,12.63
going,5,305772,12.63
each,4,303525,12.62
never,5,303028,12.62
got,3,301021,12.61
name,4,297695,12.6
both,4,296623,12.6
world,5,295523,12.6
down,4,293731,12.59
last,4,291284,12.58
read,4,289582,12.58
little,6,288496,12.57
set,3,288326,12.57
another,7,286263,12.56
better,6,284711,12.56
own,3,284270,12.56
group,5,284243,12.56
while,5,284228,12.56
number,6,283001,12.55
might,5,277738,12.53
post,4,275951,12.53
can't,5,275909,12.53
long,4,273917,12.52
try,3,272681,12.52
made,4,271084,12.51
best,4,269708,12.51
around,6,268131,12.5
few,3,264493,12.49
things,6,262799,12.48
sure,4,260476,12.47
mail,4,260346,12.47
great,5,260267,12.47
point,5,256288,12.45
someone,7,255347,12.45
without,7,254348,12.45
thanks,6,253766,12.44
look,4,253524,12.44
computer,8,253358,12.44
under,5,250435,12.43
again,5,249680,12.43
part,4,249067,12.43
support,7,248197,12.42
message,7,247136,12.42
year,4,246566,12.42
doesn't,7,246123,12.41
free,4,244067,12.41
thing,5,243604,12.4
call,4,241962,12.4
program,7,241495,12.39
line,4,239804,12.39
day,3,239111,12.38
old,3,238321,12.38
university,10,238281,12.38
that's,6,236693,12.37
cards,5,235985,12.37
systems,7,235694,12.37
following,9,235098,12.37
experience,10,234638,12.37
lot,3,232888,12.36
come,4,232041,12.35
give,4,230878,12.35
between,7,230878,12.35
however,7,230166,12.35
every,5,230149,12.35
windows,7,227622,12.34
end,3,227504,12.33
looking,7,226966,12.33
you're,6,225850,12.33
version,7,224831,12.32
put,3,224207,12.32
different,9,223502,12.32
run,3,223338,12.32
card,4,222822,12.31
address,7,221551,12.31
life,4,219561,12.3
anything,8,214704,12.28
didn't,6,210919,12.26
money,5,209588,12.25
believe,7,208406,12.25
let,3,206685,12.24
probably,8,205006,12.23
data,4,203945,12.23
least,5,201524,12.21
tell,4,201112,12.21
always,6,200870,12.21
found,5,199981,12.21
case,4,199506,12.2
says,4,199458,12.2
though,6,199366,12.2
state,5,199232,12.2
real,4,197763,12.19
game,4,197271,12.19
yes,3,197092,12.19
actually,8,196457,12.19
course,6,195947,12.19
place,5,195199,12.18
order,5,193686,12.17
problems,8,193241,12.17
either,6,192195,12.17
enough,6,191008,12.16
book,4,190905,12.16
home,4,190434,12.16
sold,4,189940,12.15
files,5,189348,12.15
man,3,188876,12.15
once,4,188862,12.15
next,4,188009,12.14
called,6,187701,12.14
power,5,187656,12.14
source,6,186065,12.13
high,4,185510,12.13
fact,4,184510,12.13
question,8,184252,12.12
keep,4,183906,12.12
John,4,181799,12.11
human,5,180168,12.1
show,4,178842,12.09
big,3,178681,12.09
interested,10,178173,12.09
above,5,177919,12.09
far,3,176812,12.08
able,4,176528,12.08
else,4,176434,12.08
hard,4,176370,12.08
thought,7,174954,12.07
done,4,173968,12.07
ever,4,173858,12.07
against,7,172615,12.06
start,5,172475,12.06
government,10,172375,12.06
access,6,172256,12.06
drive,5,171708,12.05
box,3,171530,12.05
service,7,171115,12.05
several,7,170923,12.05
I'd,3,170846,12.05
check,5,170581,12.05
until,5,170311,12.05
others,6,169716,12.04
person,6,167439,12.03
having,6,166984,12.03
doing,5,166241,12.02
maybe,5,166009,12.02
love,4,165830,12.02
three,5,165169,12.01
seems,5,164633,12.01
server,6,163334,12
feel,4,162048,12
seen,4,160826,11.99
black,5,160756,11.99
nothing,7,160745,11.99
getting,7,160518,11.99
area,4,160430,11.99
yet,3,159994,11.98
trying,6,159951,11.98
possible,8,159908,11.98
Feb,3,159762,11.98
info,4,159678,11.98
I'll,4,159272,11.98
bit,3,159206,11.98
small,5,158742,11.98
days,4,158630,11.97
less,4,158428,11.97
type,4,157464,11.97
change,6,157119,11.96
page,4,157108,11.96
business,8,156876,11.96
times,5,156832,11.96
company,7,156262,11.96
full,4,155605,11.96
quite,5,155011,11.95
price,5,153716,11.94
bad,3,153580,11.94
public,6,153537,11.94
control,7,152951,11.94
current,7,152300,11.93
job,3,152135,11.93
mean,4,151693,11.93
away,4,150815,11.92
hope,4,150675,11.92
second,6,150377,11.92
white,5,149742,11.92
play,4,149546,11.92
news,4,149044,11.91
site,4,148790,11.91
general,7,148204,11.91
code,4,148173,11.91
already,7,146289,11.89
rather,6,146049,11.89
isn't,5,145865,11.89
network,7,145633,11.89
running,7,145182,11.89
questions,9,145136,11.89
open,4,145040,11.88
position,8,144944,11.88
include,7,144495,11.88
remember,8,142627,11.87
contact,7,141845,11.86
phone,5,141619,11.86
stuff,5,140706,11.85
including,9,140551,11.85
web,3,140289,11.85
local,5,139852,11.85
David,5,139179,11.84
works,5,139173,11.84
example,7,139009,11.84
wrong,5,138848,11.84
ask,3,138493,11.84
word,4,138155,11.84
during,6,137335,11.83
date,4,136274,11.82
subject,7,135945,11.82
working,7,134669,11.81
makes,5,134406,11.81
music,5,134404,11.81
large,5,134354,11.81
posted,6,133985,11.81
pay,3,133802,11.8
heard,5,133757,11.8
idea,4,133710,11.8
reason,6,133687,11.8
services,8,132688,11.8
write,5,132648,11.8
left,4,132017,11.79
kind,4,131849,11.79
note,4,131657,11.79
based,5,131502,11.79
mind,4,131156,11.78
means,5,130928,11.78
via,3,130873,11.78
buy,3,130387,11.78
development,11,130333,11.78
posting,7,130213,11.78
level,5,130029,11.78
pretty,6,129994,11.78
god,3,129944,11.77
live,4,128442,11.76
copy,4,126341,11.75
games,5,126190,11.75
original,8,126061,11.74
research,8,126031,11.74
law,3,125412,11.74
hand,4,124848,11.73
test,4,124267,11.73
text,4,124115,11.73
given,5,123144,11.72
sound,5,122381,11.71
seem,4,122295,11.71
bid,3,121985,11.71
machine,7,121109,11.7
whole,5,120697,11.7
within,6,120308,11.7
school,6,119951,11.69
tried,5,119845,11.69
American,8,119723,11.69
per,3,119422,11.69
making,6,119373,11.69
everyone,8,119257,11.69
user,4,118645,11.68
form,4,118268,11.68
there's,7,118099,11.68
often,5,117801,11.68
issue,5,117620,11.68
net,3,117269,11.67
bill,4,116919,11.67
top,3,116571,11.67
body,4,116235,11.66
ago,3,116095,11.66
went,4,115581,11.66
came,4,115002,11.65
memory,6,114930,11.65
national,8,114548,11.65
add,3,113856,11.64
oh,2,113530,11.64
nice,4,113119,11.64
space,5,113076,11.64
states,6,113034,11.64
library,7,113025,11.64
everything,10,112573,11.63
won't,5,112554,11.63
side,4,112408,11.63
whether,7,112151,11.63
fine,4,111801,11.62
almost,6,111601,11.62
technology,10,111387,11.62
women,5,111268,11.62
books,5,111046,11.62
design,6,110689,11.61
matter,6,110274,11.61
video,5,110183,11.61
although,8,109965,11.61
definition,10,109857,11.61
week,4,109477,11.6
war,3,109438,11.6
perhaps,7,109435,11.6
answer,6,109246,11.6
head,4,109089,11.6
programs,8,109080,11.6
team,4,108529,11.59
users,5,108499,11.59
standard,8,108320,11.59
cannot,6,108318,11.59
groups,6,108199,11.59
disk,4,108080,11.59
personal,8,108044,11.59
later,5,108034,11.59
understand,10,107528,11.59
size,4,107005,11.58
country,7,106711,11.58
usually,7,106388,11.57
instead,7,106318,11.57
important,9,105978,11.57
water,5,105961,11.57
special,7,105765,11.57
international,13,105052,11.56
told,4,104947,11.56
care,4,104469,11.56
house,5,104153,11.55
red,3,103819,11.55
today,5,103604,11.55
comes,5,103585,11.55
mark,4,103559,11.55
written,7,103440,11.55
agree,5,103383,11.55
similar,7,103270,11.55
complete,8,103017,11.54
sequence,8,102898,11.54
provide,7,102813,11.54
pub,3,102709,11.54
reading,7,102706,11.54
simply,6,102396,11.54
product,7,102292,11.54
asked,5,102158,11.53
city,4,102007,11.53
Michael,7,101213,11.52
due,3,100775,11.52
months,6,100610,11.52
major,5,100373,11.52
plus,4,99584,11.51
cost,4,99509,11.51
science,7,99256,11.51
words,5,99249,11.51
cut,3,99104,11.5
process,7,98998,11.5
market,6,98850,11.5
offer,5,98441,11.5
guess,5,98363,11.5
started,7,98348,11.5
men,3,98321,11.5
language,8,97874,11.49
technical,9,97756,11.49
unless,6,97713,11.49
night,5,97524,11.49
common,6,97044,11.48
ok,2,97012,11.48
anyway,6,96987,11.48
story,5,96953,11.48
light,5,96805,11.48
stop,4,96586,11.48
discussion,10,96245,11.47
children,8,96102,11.47
key,3,95993,11.47
thank,5,95706,11.47
points,6,95563,11.47
short,5,95521,11.47
sale,4,95391,11.47
saying,6,95390,11.47
section,7,94926,11.46
single,6,94811,11.46
products,8,94325,11.45
class,5,94260,11.45
especially,10,94104,11.45
easy,4,93775,11.45
couple,6,93448,11.45
become,6,93420,11.44
sorry,5,93412,11.44
rights,6,92824,11.44
myself,6,92699,11.44
along,5,92602,11.44
wanted,6,92414,11.43
wall,4,91869,11.43
sent,4,91673,11.43
talk,4,91547,11.42
speed,5,91193,11.42
report,6,90838,11.42
green,5,90773,11.42
series,6,90751,11.42
future,6,90741,11.42
below,5,90658,11.41
none,4,90590,11.41
hear,4,90309,11.41
soon,4,90301,11.41
interest,8,90246,11.41
together,8,90238,11.41
turn,4,89685,11.4
needs,5,89632,11.4
goes,4,89621,11.4
project,7,89569,11.4
past,4,89390,11.4
Paul,4,89377,11.4
mine,4,89230,11.4
blue,4,89005,11.4
required,8,88963,11.4
family,6,88710,11.39
haven't,7,88598,11.39
office,6,88401,11.39
you'll,6,88349,11.39
currently,9,88217,11.39
various,7,88071,11.39
wouldn't,8,87980,11.38
history,7,87544,11.38
minimum,7,87433,11.38
rate,4,87417,11.38
center,6,87347,11.38
took,4,87271,11.38
application,11,87255,11.38
he's,4,87223,11.38
saw,3,87044,11.37
gets,4,86927,11.37
applications,12,86618,11.37
car,3,86253,11.37
low,3,86110,11.36
hi,2,85982,11.36
four,4,85200,11.35
room,4,85138,11.35
command,7,85016,11.35
close,5,84927,11.35
known,5,84923,11.35
simple,6,84794,11.35
mint,4,84435,11.34
guy,3,84152,11.34
yourself,8,84061,11.34
lines,5,83944,11.34
Canada,6,83931,11.34
knowledge,9,83911,11.34
interesting,11,83904,11.34
except,6,83885,11.34
deal,4,83766,11.34
return,6,83751,11.34
they're,7,83503,11.33
further,7,83287,11.33
sites,5,83123,11.33
issues,6,82971,11.33
ones,4,82907,11.33
value,5,82888,11.33
Mike,4,82468,11.32
sometimes,9,82167,11.32
united,6,82140,11.32
Id,2,81870,11.31
voice,5,81827,11.31
error,5,81660,11.31
star,4,81633,11.31
worth,5,81429,11.31
certain,7,81374,11.31
whatever,8,81172,11.3
air,3,81115,11.3
friend,6,81053,11.3
reply,5,80908,11.3
skills,6,80670,11.3
resume,6,80442,11.3
rules,5,80232,11.29
move,4,80091,11.29
title,5,79977,11.29
field,5,79920,11.29
York,4,79856,11.29
cause,5,79705,11.29
board,5,79617,11.28
excellent,9,79398,11.28
advance,7,79091,11.28
format,6,79019,11.28
sort,4,78952,11.28
directory,9,78935,11.28
quality,7,78895,11.28
America,7,78729,11.27
members,7,78648,11.27
consider,8,78623,11.27
rest,4,78610,11.27
talking,7,78552,11.27
search,6,78523,11.27
society,7,78371,11.27
shipping,8,78308,11.27
upon,4,78218,11.27
lost,4,78090,11.27
near,4,78062,11.27
response,8,77995,11.26
press,5,77897,11.26
front,5,77889,11.26
college,7,77818,11.26
correct,7,77798,11.26
death,5,77796,11.26
action,6,77756,11.26
face,4,77706,11.26
sense,5,77530,11.26
friends,7,77337,11.26
clear,5,77302,11.26
sell,4,77273,11.26
north,5,77220,11.25
English,7,77179,11.25
related,7,77163,11.25
hours,5,77067,11.25
fast,4,77003,11.25
comments,8,76991,11.25
allow,5,76957,11.25
release,7,76651,11.25
leave,5,76506,11.25
trade,5,76384,11.24
month,5,76300,11.24
itself,6,76297,11.24
hardware,8,76178,11.24
street,6,76139,11.24
Steve,5,76012,11.24
organism,8,76012,11.24
early,5,75759,11.24
fun,3,75696,11.23
wasn't,6,75553,11.23
exactly,7,75519,11.23
living,6,75436,11.23
force,5,75365,11.23
land,4,75075,11.23
locus,5,75039,11.23
view,4,75014,11.23
color,5,74865,11.22
president,9,74841,11.22
screen,6,74698,11.22
march,5,74695,11.22
difference,10,74565,11.22
wish,4,74280,11.22
particular,10,74278,11.22
opinions,8,74135,11.21
main,4,74094,11.21
sun,3,74083,11.21
performance,11,73651,11.21
recently,8,73587,11.21
taken,5,73472,11.2
programming,11,73396,11.2
numbers,7,73323,11.2
basic,5,73227,11.2
longer,6,73185,11.2
create,6,73169,11.2
writing,7,73085,11.2
playing,7,73055,11.2
coming,6,72956,11.2
includes,8,72896,11.2
dead,4,72864,11.2
Robert,6,72828,11.2
management,10,72764,11.19
certainly,9,72396,11.19
act,3,72216,11.19
what's,6,72133,11.19
radio,5,71946,11.18
half,4,71926,11.18
needed,6,71898,11.18
likely,6,71675,11.18
takes,5,71656,11.18
learn,5,71507,11.18
department,10,71480,11.18
dark,4,71249,11.17
hold,4,71050,11.17
normal,6,70982,11.17
looks,5,70951,11.17
happy,5,70881,11.17
environment,11,70839,11.17
kill,4,70815,11.17
Al,2,70783,11.17
auction,7,70714,11.17
taking,6,70534,11.16
specific,8,70494,11.16
engineering,11,70438,11.16
total,5,70437,11.16
California,10,70311,11.16
lots,4,70143,11.16
condition,9,70143,11.16
finally,7,70037,11.16
directly,8,69933,11.16
weeks,5,69740,11.15
included,8,69433,11.15
sounds,6,69415,11.15
ideas,5,69254,11.15
strong,6,69234,11.15
themselves,10,69173,11.14
anybody,7,69155,11.14
driver,6,69007,11.14
thus,4,68926,11.14
political,9,68811,11.14
you've,6,68786,11.14
opinion,7,68760,11.14
party,5,68745,11.14
details,7,68640,11.14
outside,7,68404,11.13
previous,8,68239,11.13
otherwise,9,68136,11.13
client,6,68130,11.13
die,3,67931,11.13
mailing,7,67766,11.12
companies,9,67681,11.12
receive,7,67666,11.12
effect,6,67019,11.11
result,6,66995,11.11
young,5,66849,11.11
model,5,66839,11.11
age,3,66835,11.11
knows,5,66802,11.11
road,4,66722,11.11
request,7,66648,11.11
Peter,5,66538,11.11
woman,5,66489,11.1
parts,5,66285,11.1
south,5,66282,11.1
played,6,66128,11.1
James,5,66128,11.1
happen,6,66094,11.1
mode,4,65878,11.1
apple,5,65844,11.1
ram,3,65790,11.09
choice,6,65532,11.09
sex,3,65480,11.09
results,7,65329,11.09
individual,10,65280,11.09
uses,4,65199,11.09
names,5,65155,11.08
present,7,65134,11.08
behind,6,64875,11.08
posts,5,64803,11.08
win,3,64799,11.08
pages,5,64788,11.08
according,9,64745,11.08
child,5,64729,11.08
messages,8,64553,11.08
looked,6,64529,11.07
aren't,6,64417,11.07
articles,8,64285,11.07
thinking,8,64226,11.07
hit,3,64135,11.07
cover,5,64134,11.07
couldn't,8,64083,11.07
shows,5,64056,11.07
paper,5,64005,11.07
we're,5,63958,11.07
member,6,63948,11.07
bob,3,63942,11.07
limited,7,63816,11.06
inside,6,63772,11.06
character,9,63731,11.06
image,5,63630,11.06
minutes,7,63627,11.06
Jim,3,63481,11.06
wide,4,63297,11.06
club,4,63264,11.06
plan,4,63172,11.05
clone,5,62986,11.05
location,8,62969,11.05
west,4,62838,11.05
package,7,62783,11.05
fire,4,62707,11.05
five,4,62706,11.05
legal,5,62653,11.05
save,4,62632,11.05
completely,10,62561,11.04
security,8,62549,11.04
entire,6,62545,11.04
art,3,62513,11.04
commercial,10,62464,11.04
Tom,3,62374,11.04
across,6,62336,11.04
evidence,8,62334,11.04
tax,3,62254,11.04
added,5,62085,11.04
port,4,62053,11.04
hell,4,62006,11.03
record,6,61996,11.03
Dave,4,61964,11.03
average,7,61913,11.03
resources,9,61893,11.03
amount,6,61858,11.03
print,5,61833,11.03
wait,4,61759,11.03
earth,5,61680,11.03
movie,5,61248,11.02
tape,4,61126,11.02
higher,6,61080,11.02
recent,6,61027,11.02
February,8,60969,11.02
account,7,60958,11.02
health,6,60950,11.02
necessary,9,60899,11.02
wants,5,60875,11.02
begin,5,60828,11.02
tools,5,60656,11.01
luck,4,60629,11.01
magazine,8,60422,11.01
received,8,60413,11.01
players,7,60398,11.01
appreciated,11,60385,11.01
anonymous,9,60353,11.01
expect,6,60322,11.01
among,5,60232,11.01
shall,5,60161,11
reference,9,59999,11
song,4,59801,11
manager,7,59800,11
worked,6,59752,11
food,4,59724,11
electronic,10,59636,11
prices,6,59545,10.99
situation,9,59523,10.99
involved,8,59463,10.99
material,8,59366,10.99
base,4,59143,10.99
considered,10,59118,10.99
areas,5,59101,10.99
chance,6,58965,10.98
held,4,58944,10.98
education,9,58802,10.98
community,9,58793,10.98
guys,4,58720,10.98
training,8,58664,10.98
changes,7,58660,10.98
energy,6,58596,10.98
Washington,10,58595,10.98
male,4,58587,10.98
therefore,9,58572,10.98
follow,6,58490,10.98
private,7,58427,10.98
hey,3,58421,10.98
third,5,58366,10.97
dog,3,58314,10.97
letter,6,58299,10.97
player,6,58218,10.97
range,5,58184,10.97
social,6,58169,10.97
forward,7,58128,10.97
vote,4,58103,10.97
eyes,4,58027,10.97
term,4,58014,10.97
media,5,58004,10.97
hands,5,58004,10.97
Richard,7,57995,10.97
interface,9,57923,10.97
function,8,57907,10.97
share,5,57769,10.96
court,5,57767,10.96
document,8,57743,10.96
thread,6,57162,10.95
bought,6,57147,10.95
watch,5,56974,10.95
industry,8,56926,10.95
ability,7,56922,10.95
communications,14,56902,10.95
mentioned,9,56816,10.95
happened,8,56714,10.95
claim,5,56597,10.94
himself,7,56572,10.94
knew,4,56518,10.94
figure,6,56510,10.94
bring,5,56510,10.94
student,7,56461,10.94
cases,5,56347,10.94
sales,5,56201,10.94
table,5,56081,10.93
additional,10,56018,10.93
federal,7,56007,10.93
let's,5,55934,10.93
extra,5,55903,10.93
continue,8,55897,10.93
million,7,55862,10.93
serious,7,55817,10.93
opportunity,11,55800,10.93
students,8,55764,10.93
willing,7,55709,10.93
statement,9,55638,10.93
respond,7,55589,10.93
created,7,55504,10.92
requirements,12,55501,10.92
asking,6,55492,10.92
drivers,7,55262,10.92
useful,6,55233,10.92
late,4,55030,10.92
welcome,7,55024,10.92
window,6,54926,10.91
direct,6,54882,10.91
nor,3,54811,10.91
gives,5,54544,10.91
master,6,54412,10.9
Dan,3,54311,10.9
ways,4,54302,10.9
listed,6,54165,10.9
brain,5,54113,10.9
Joe,3,53952,10.9
bids,4,53928,10.9
door,4,53813,10.89
period,6,53751,10.89
starting,8,53738,10.89
speak,5,53714,10.89
folks,5,53604,10.89
features,8,53511,10.89
poor,4,53482,10.89
author,6,53382,10.89
ma,2,53321,10.88
latest,6,53298,10.88
offers,6,53284,10.88
guide,5,53202,10.88
store,5,53126,10.88
gold,4,53067,10.88
medical,7,53004,10.88
primates,8,52976,10.88
connection,10,52954,10.88
truth,5,52771,10.87
film,4,52691,10.87
appropriate,11,52628,10.87
king,4,52583,10.87
difficult,9,52555,10.87
object,6,52354,10.87
suite,5,52330,10.87
characters,10,52284,10.86
solution,8,52273,10.86
gave,4,52246,10.86
easily,6,52243,10.86
contains,8,52018,10.86
suggestions,11,52002,10.86
blood,5,51801,10.86
gone,4,51800,10.86
wonder,6,51799,10.86
conference,10,51735,10.85
nature,6,51563,10.85
hot,3,51546,10.85
equipment,9,51532,10.85
orders,6,51382,10.85
changed,7,51341,10.85
ship,4,51299,10.85
Scott,5,51270,10.84
turned,6,51056,10.84
alone,5,51000,10.84
study,5,50899,10.84
lists,5,50889,10.84
length,6,50773,10.84
suggest,7,50721,10.83
Thomas,6,50519,10.83
beta,4,50393,10.83
provided,8,50365,10.83
installed,9,50303,10.83
felt,4,50231,10.82
warp,4,50145,10.82
paid,4,50044,10.82
yeah,4,50018,10.82
generally,9,49991,10.82
option,6,49982,10.82
appreciate,10,49973,10.82
published,9,49961,10.82
mention,7,49939,10.82
terms,5,49922,10.82
replies,7,49899,10.82
method,6,49828,10.82
manual,6,49825,10.82
kids,4,49811,10.82
trouble,7,49725,10.81
decided,7,49697,10.81
choose,6,49680,10.81
lower,5,49669,10.81
install,7,49667,10.81
items,5,49636,10.81
cool,4,49548,10.81
faster,6,49451,10.81
accept,6,49430,10.81
reports,7,49396,10.81
argument,8,49353,10.81
band,4,49179,10.8
device,6,49124,10.8
credit,6,49110,10.8
east,4,49098,10.8
church,6,49074,10.8
final,5,49025,10.8
laws,4,49010,10.8
stay,4,49009,10.8
display,7,48971,10.8
machines,8,48947,10.8
description,11,48795,10.8
lead,4,48779,10.8
ground,6,48767,10.79
theory,6,48737,10.79
stand,5,48716,10.79
doubt,5,48652,10.79
obviously,9,48613,10.79
pass,4,48574,10.79
professional,12,48487,10.79
building,8,48370,10.79
basis,5,48314,10.79
meet,4,48215,10.78
exist,5,48160,10.78
helps,5,48115,10.78
reasons,7,48084,10.78
magic,5,48020,10.78
police,6,48000,10.78
sources,7,47903,10.78
countries,9,47888,10.78
military,8,47865,10.78
policy,6,47846,10.78
here's,6,47840,10.78
happens,7,47804,10.77
break,5,47766,10.77
build,5,47708,10.77
versions,8,47697,10.77
runs,4,47697,10.77
places,6,47580,10.77
analysis,8,47575,10.77
regular,7,47458,10.77
engineer,8,47390,10.77
drop,4,47322,10.76
gun,3,47274,10.76
automatically,13,47178,10.76
organization,12,47161,10.76
responsible,11,47150,10.76
contract,8,47097,10.76
purpose,7,47091,10.76
round,5,47080,10.76
require,7,46963,10.76
addition,8,46938,10.76
hour,4,46820,10.75
positions,9,46803,10.75
requires,8,46800,10.75
enjoy,5,46729,10.75
picture,7,46520,10.75
handle,6,46491,10.75
appear,6,46487,10.75
park,4,46460,10.75
easier,6,46413,10.75
race,4,46405,10.75
digital,7,46328,10.74
calls,5,46308,10.74
George,6,46181,10.74
notice,6,46178,10.74
supposed,8,46164,10.74
twice,5,46140,10.74
subscribe,9,46138,10.74
piece,5,46129,10.74
fall,4,46059,10.74
attack,6,46040,10.74
travel,6,45977,10.74
records,7,45965,10.74
tech,4,45962,10.74
monitor,7,45909,10.73
costs,5,45881,10.73
heart,5,45783,10.73
smith,5,45658,10.73
track,5,45579,10.73
types,5,45567,10.73
van,3,45556,10.73
stupid,6,45414,10.72
released,8,45360,10.72
avoid,5,45327,10.72
rule,4,45323,10.72
fair,4,45321,10.72
pick,4,45297,10.72
natural,7,45294,10.72
charge,6,45281,10.72
editor,6,45222,10.72
middle,6,45179,10.72
apply,5,45131,10.72
personally,10,45117,10.72
attention,9,45081,10.72
parents,7,45055,10.72
Japanese,8,44955,10.71
island,6,44872,10.71
freedom,7,44824,10.71
unfortunately,13,44809,10.71
computers,9,44782,10.71
somewhere,9,44763,10.71
multiple,8,44662,10.71
Texas,5,44548,10.7
allowed,7,44517,10.7
advice,6,44488,10.7
operating,9,44449,10.7
provides,8,44337,10.7
practice,8,44294,10.7
rock,4,44285,10.7
communication,13,44283,10.7
Brian,5,44247,10.7
official,8,44245,10.7
physical,8,44223,10.7
ring,4,44167,10.7
hate,4,44130,10.69
giving,6,44099,10.69
status,6,44083,10.69
son,3,43980,10.69
indeed,6,43972,10.69
ready,5,43959,10.69
step,4,43956,10.69
remove,6,43954,10.69
visit,5,43874,10.69
boot,4,43868,10.69
background,10,43848,10.69
beyond,6,43775,10.69
Christian,9,43770,10.69
beginning,9,43739,10.69
evil,4,43736,10.69
join,4,43729,10.69
path,4,43722,10.69
slow,4,43719,10.69
six,3,43679,10.68
increase,8,43670,10.68
explain,7,43650,10.68
artifact,8,43646,10.68
Macintosh,9,43628,10.68
moment,6,43625,10.68
prefer,6,43552,10.68
edition,7,43542,10.68
forget,6,43510,10.68
bottom,6,43483,10.68
con,3,43471,10.68
copyright,9,43390,10.68
stock,5,43376,10.68
gopher,6,43351,10.68
ad,2,43254,10.67
style,5,43235,10.67
allows,6,43222,10.67
drives,6,43187,10.67
female,6,43053,10.67
designed,8,43004,10.67
reality,7,42961,10.67
pro,3,42950,10.67
notes,5,42861,10.67
assume,6,42861,10.67
event,5,42825,10.66
boy,3,42823,10.66
institute,9,42802,10.66
corporation,11,42707,10.66
deep,4,42695,10.66
fit,3,42662,10.66
Germany,7,42638,10.66
unit,4,42634,10.66
hair,4,42603,10.66
damage,6,42588,10.66
central,7,42496,10.66
effects,7,42473,10.66
straight,8,42466,10.66
jobs,4,42367,10.65
double,6,42366,10.65
congress,8,42314,10.65
shot,4,42214,10.65
foreign,7,42189,10.65
brown,5,42129,10.65
mother,6,42113,10.65
selling,7,42099,10.65
degree,6,42088,10.65
production,10,42061,10.65
